"time","EDP","EDP( volume )"
"2005-05-17 01:00","2.11","6170933"
"2005-05-18 01:00","2.09","12114867"
"2005-05-19 01:00","2.09","6744993"
"2005-05-20 01:00","2.13","16344240"
"2005-05-23 01:00","2.14","10767496"
"2005-05-24 01:00","2.14","5903425"
"2005-05-25 01:00","2.08","15395815"
"2005-05-26 01:00","2.1","27018937"
"2005-05-27 01:00","2.11","18048065"
"2005-05-30 01:00","2.09","3671809"
"2005-05-31 01:00","2.06","23441712"
"2005-06-01 01:00","2.09","26378082"
"2005-06-02 01:00","2.07","6949736"
"2005-06-03 01:00","2.1","9925688"
"2005-06-06 01:00","2.1","5511906"
"2005-06-07 01:00","2.1","18258975"
"2005-06-08 01:00","2.07","19455776"
"2005-06-09 01:00","2.08","19850251"
"2005-06-10 01:00","2.07","5639415"
"2005-06-13 01:00","2.09","2771919"
"2005-06-14 01:00","2.1","5092035"
"2005-06-15 01:00","2.08","15804123"
"2005-06-16 01:00","2.07","8657517"
"2005-06-17 01:00","2.08","15691468"
"2005-06-20 01:00","2.1","8386901"
"2005-06-21 01:00","2.1","3821385"
"2005-06-22 01:00","2.08","9388624"
"2005-06-23 01:00","2.09","7643135"
"2005-06-24 01:00","2.1","9192627"
"2005-06-27 01:00","2.06","20106040"
"2005-06-28 01:00","2.06","9898602"
"2005-06-29 01:00","2.07","9906405"
"2005-06-30 01:00","2.08","4552602"
"2005-07-01 01:00","2.09","6910391"
"2005-07-04 01:00","2.08","7898088"
"2005-07-05 01:00","2.08","13646774"
"2005-07-06 01:00","2.08","9139233"
"2005-07-07 01:00","2.07","14335853"
"2005-07-08 01:00","2.07","7312515"
"2005-07-11 01:00","2.08","9883600"
"2005-07-12 01:00","2.09","7847688"
"2005-07-13 01:00","2.09","9832908"
"2005-07-14 01:00","2.08","7235496"
"2005-07-15 01:00","2.08","9332253"
"2005-07-18 01:00","2.09","3765009"
"2005-07-19 01:00","2.09","3658919"
"2005-07-20 01:00","2.09","4754246"
"2005-07-21 01:00","2.1","10910477"
"2005-07-22 01:00","2.08","7588121"
"2005-07-25 01:00","2.1","11433110"
"2005-07-26 01:00","2.13","9619024"
"2005-07-27 01:00","2.17","12210308"
"2005-07-28 01:00","2.17","4764436"
"2005-07-29 01:00","2.2","13433634"
"2005-08-01 01:00","2.18","5473123"
"2005-08-02 01:00","2.17","5439291"
"2005-08-03 01:00","2.21","8888805"
"2005-08-04 01:00","2.23","19905257"
"2005-08-05 01:00","2.24","13677899"
"2005-08-08 01:00","2.23","5121626"
"2005-08-09 01:00","2.2","8229072"
"2005-08-10 01:00","2.21","9301340"
"2005-08-11 01:00","2.2","6726373"
"2005-08-12 01:00","2.22","4618927"
"2005-08-15 01:00","2.21","2300632"
"2005-08-16 01:00","2.22","3762934"
"2005-08-17 01:00","2.22","4405509"
"2005-08-18 01:00","2.21","6000512"
"2005-08-19 01:00","2.23","5122145"
"2005-08-22 01:00","2.24","4240552"
"2005-08-23 01:00","2.23","7232048"
"2005-08-24 01:00","2.24","11179874"
"2005-08-25 01:00","2.24","10299959"
"2005-08-26 01:00","2.25","9792474"
"2005-08-29 01:00","2.25","4043018"
"2005-08-30 01:00","2.26","13031112"
"2005-08-31 01:00","2.28","16538040"
"2005-09-01 01:00","2.28","9043222"
"2005-09-02 01:00","2.26","11014475"
"2005-09-05 01:00","2.29","10349811"
"2005-09-06 01:00","2.32","27955282"
"2005-09-07 01:00","2.32","12099224"
"2005-09-08 01:00","2.31","11724201"
"2005-09-09 01:00","2.3","3149920"
"2005-09-12 01:00","2.3","3451045"
"2005-09-13 01:00","2.33","12731167"
"2005-09-14 01:00","2.32","5061815"
"2005-09-15 01:00","2.31","9534266"
"2005-09-16 01:00","2.32","4893350"
"2005-09-19 01:00","2.32","3307390"
"2005-09-20 01:00","2.34","13077106"
"2005-09-21 01:00","2.32","12679303"
"2005-09-22 01:00","2.31","6768501"
"2005-09-23 01:00","2.31","6957149"
"2005-09-26 01:00","2.32","12831724"
"2005-09-27 01:00","2.35","12671435"
"2005-09-28 01:00","2.32","22858520"
"2005-09-29 01:00","2.32","6988204"
"2005-09-30 01:00","2.32","7915008"
"2005-10-03 01:00","2.31","8212162"
"2005-10-04 01:00","2.31","18382513"
"2005-10-05 01:00","2.3","9164542"
"2005-10-06 01:00","2.29","8294928"
"2005-10-07 01:00","2.28","9508858"
"2005-10-10 01:00","2.29","12237001"
"2005-10-11 01:00","2.28","11061517"
"2005-10-12 01:00","2.28","9058047"
"2005-10-13 01:00","2.27","7609578"
"2005-10-14 01:00","2.28","12001280"
"2005-10-17 01:00","2.29","24924188"
"2005-10-18 01:00","2.32","10502463"
"2005-10-19 01:00","2.31","15123904"
"2005-10-20 01:00","2.31","10342835"
"2005-10-21 01:00","2.32","4814864"
"2005-10-24 01:00","2.33","13065554"
"2005-10-25 01:00","2.34","12688679"
"2005-10-26 01:00","2.31","7070080"
"2005-10-27 01:00","2.32","7553158"
"2005-10-28 01:00","2.33","7794948"
"2005-10-31 00:00","2.36","10987376"
"2005-11-01 00:00","2.34","3123638"
"2005-11-02 00:00","2.36","6798988"
"2005-11-03 00:00","2.35","10512451"
"2005-11-04 00:00","2.36","9541903"
"2005-11-07 00:00","2.36","8374842"
"2005-11-08 00:00","2.35","4685806"
"2005-11-09 00:00","2.38","8019908"
"2005-11-10 00:00","2.36","5305346"
"2005-11-11 00:00","2.37","5641409"
"2005-11-14 00:00","2.36","7800146"
"2005-11-15 00:00","2.36","5851530"
"2005-11-16 00:00","2.36","8359615"
"2005-11-17 00:00","2.38","6751119"
"2005-11-18 00:00","2.39","11378153"
"2005-11-21 00:00","2.39","9756332"
"2005-11-22 00:00","2.41","15166058"
"2005-11-23 00:00","2.41","13033437"
"2005-11-24 00:00","2.46","20746481"
"2005-11-25 00:00","2.5","21854394"
"2005-11-28 00:00","2.52","14481681"
"2005-11-29 00:00","2.51","10720214"
"2005-11-30 00:00","2.5","9761907"
"2005-12-01 00:00","2.51","9290878"
"2005-12-02 00:00","2.51","8092383"
"2005-12-05 00:00","2.5","9275161"
"2005-12-06 00:00","2.54","12138425"
"2005-12-07 00:00","2.55","23197001"
"2005-12-08 00:00","2.56","13971589"
"2005-12-09 00:00","2.54","13387104"
"2005-12-12 00:00","2.55","9162067"
"2005-12-13 00:00","2.55","13041295"
"2005-12-14 00:00","2.54","8301651"
"2005-12-15 00:00","2.54","14222658"
"2005-12-16 00:00","2.55","17187605"
"2005-12-19 00:00","2.57","15289794"
"2005-12-20 00:00","2.58","12685182"
"2005-12-21 00:00","2.62","18153669"
"2005-12-22 00:00","2.65","14234355"
"2005-12-23 00:00","2.66","8344797"
"2005-12-27 00:00","2.63","5411395"
"2005-12-28 00:00","2.61","4377583"
"2005-12-29 00:00","2.63","6757281"
"2005-12-30 00:00","2.6","7318260"
"2006-01-02 00:00","2.6","6777778"
"2006-01-03 00:00","2.63","9512411"
"2006-01-04 00:00","2.65","23168229"
"2006-01-05 00:00","2.68","84568067"
"2006-01-06 00:00","2.75","17470104"
"2006-01-09 00:00","2.82","43805483"
"2006-01-10 00:00","2.76","39053878"
"2006-01-11 00:00","2.79","29077375"
"2006-01-12 00:00","2.79","18957643"
"2006-01-13 00:00","2.82","15998641"
"2006-01-16 00:00","2.78","6652895"
"2006-01-17 00:00","2.79","10075139"
"2006-01-18 00:00","2.79","12356748"
"2006-01-19 00:00","2.75","15537150"
"2006-01-20 00:00","2.72","11494969"
"2006-01-23 00:00","2.72","9675981"
"2006-01-24 00:00","2.68","9446754"
"2006-01-25 00:00","2.7","12384415"
"2006-01-26 00:00","2.7","8238686"
"2006-01-27 00:00","2.7","12500847"
"2006-01-30 00:00","2.69","9665499"
"2006-01-31 00:00","2.71","14017055"
"2006-02-01 00:00","2.73","17012614"
"2006-02-02 00:00","2.7","21363177"
"2006-02-03 00:00","2.72","93085823"
"2006-02-06 00:00","2.74","13369791"
"2006-02-07 00:00","2.77","30190993"
"2006-02-08 00:00","2.79","9421712"
"2006-02-09 00:00","2.78","7961092"
"2006-02-10 00:00","2.81","19050339"
"2006-02-13 00:00","2.8","20842425"
"2006-02-14 00:00","2.83","6905066"
"2006-02-15 00:00","2.83","9077085"
"2006-02-16 00:00","2.82","10475102"
"2006-02-17 00:00","2.83","13174757"
"2006-02-20 00:00","2.84","8302515"
"2006-02-21 00:00","2.93","34925958"
"2006-02-22 00:00","2.94","20183893"
"2006-02-23 00:00","2.94","13829387"
"2006-02-24 00:00","2.96","14456095"
"2006-02-27 00:00","2.99","15774571"
"2006-02-28 00:00","2.93","11710951"
"2006-03-01 00:00","2.96","8997892"
"2006-03-02 00:00","2.95","11480881"
"2006-03-03 00:00","2.92","12052611"
"2006-03-06 00:00","2.96","12636525"
"2006-03-07 00:00","2.96","15062931"
"2006-03-08 00:00","2.93","11874191"
"2006-03-09 00:00","2.96","10948017"
"2006-03-10 00:00","2.97","6231209"
"2006-03-13 00:00","2.95","12930022"
"2006-03-14 00:00","2.95","12716434"
"2006-03-15 00:00","3.02","44352883"
"2006-03-16 00:00","3.02","12661597"
"2006-03-17 00:00","3.01","20905024"
"2006-03-20 00:00","3","8895614"
"2006-03-21 00:00","2.98","19588164"
"2006-03-22 00:00","3.01","8603543"
"2006-03-23 00:00","3","17621148"
"2006-03-24 00:00","3.03","10597316"
"2006-03-27 01:00","3.03","16280639"
"2006-03-28 01:00","3.04","11350273"
"2006-03-29 01:00","3.15","39515348"
"2006-03-30 01:00","3.23","48169399"
"2006-03-31 01:00","3.24","53702960"
"2006-04-03 01:00","3.21","12017206"
"2006-04-04 01:00","3.19","29406881"
"2006-04-05 01:00","3.28","29128403"
"2006-04-06 01:00","3.25","15795366"
"2006-04-07 01:00","3.28","41591579"
"2006-04-10 01:00","3.3","10786525"
"2006-04-11 01:00","3.27","14385985"
"2006-04-12 01:00","3.25","15681398"
"2006-04-13 01:00","3.26","7349488"
"2006-04-18 01:00","3.28","10055383"
"2006-04-19 01:00","3.32","22879398"
"2006-04-20 01:00","3.28","31552758"
